Word,MorphStatus,Lang,ImmSA,ImmAllo,FlatClass,FlatSA,Flat,Class,SylCnt,StrsPat
courting,Z,,F,N,V,F,courting[V][A],A,2,1x
courtliness,C,,SA,N,Nxx,SAA,court[N]+ly[A|N.][A]+ness[N|A.][N],N,3,1xx
courtly,C,,SA,N,Nx,SA,court[N]+ly[A|N.][A],A,2,1x
court-martial,Z,,S,N,NA,SS,court[N]+martial[A][N][V],V,3,x1x
court-martial,C,,SS,N,NA,SS,court[N]+martial[A][N],N,3,x1x
court of inquiry,I,,,,,,,N,6,xxx1xx
Court of Session,I,,,,,,,N,4,xx1x
courtroom,C,,SS,N,NN,SS,court[N]+room[N][N],N,2,1x
courtship,C,,SA,N,Nx,SA,court[N][V]+ship[N|V.][N],N,2,1x
courtyard,C,,SS,N,NN,SS,court[N]+yard[N][N],N,2,1x
couscous,M,,S,N,N,S,couscous[N],N,2,1x
cousin,M,,S,N,N,S,cousin[N],N,2,1x
cousinly,C,,SA,N,Nx,SA,cousin[N]+ly[A|N.][A],A,3,1xx
couth,M,,S,N,A,S,couth[A],A,1,1
couture,R,,,,,,,N,2,x1
couturier,C,,SA,N,Nx,SA,couture[N]+ier[N|N.][N],N,4,x1xx
cove,M,,S,N,N,S,cove[N],N,1,1
coven,M,,S,N,N,S,coven[N],N,2,1x
covenant,O,,,,,,,N,3,1xx
covenant,Z,,S,N,N,S,covenant[N][V],V,3,1xx
Coventry,I,,,,,,,N,3,1xx
cover,Z,,S,N,V,S,cover[V][N],N,2,1x
cover,M,,S,N,V,S,cover[V],V,2,1x
coverage,C,,SA,N,Vx,SA,cover[V]+age[N|V.][N],N,3,1xx
cover charge,C,,SS,N,VV,SS,cover[V]+charge[V][N][N],N,3,1xx
covering,Z,,F,N,V,F,covering[V][N],N,3,1xx
covering letter,C,,FS,N,VN,FS,covering[V]+letter[N][N],N,5,xxx1x
coverlet,C,,SA,N,Vx,SA,cover[V][N]+let[N|N.][N],N,3,1xx
cover note,C,,SS,N,VN,SS,cover[V]+note[N][N],N,3,1xx
cover point,C,,SS,N,VN,SS,cover[V]+point[N][N],N,3,xx1
covert,Z,,S,N,A,S,covert[A][N],N,2,1x
covert,R,,,,,,,A,2,1x
covertly,C,,SA,N,Ax,SA,covert[A]+ly[B|A.][B],ADV,3,1xx
cover-up,Z,,S,N,VB,SS,cover[V]+up[B][V][N],N,3,1xx
cover up,C,,SS,N,VB,SS,cover[V]+up[B][V],V,3,xx1
cover up for,I,,,,,,,V,4,xx1x
covet,M,,S,N,V,S,covet[V],V,2,1x
covetous,C,,SA,N,Vx,SA,covet[V]+ous[A|V.][A],A,3,1xx
covetously,C,,SA,N,Vxx,SAA,covet[V]+ous[A|V.][A]+ly[B|A.][B],ADV,4,1xxx
covetousness,C,,SA,N,Vxx,SAA,covet[V]+ous[A|V.][A]+ness[N|A.][N],N,4,1xxx
covey,R,,,,,,,N,2,1x
cow,M,,S,N,N,S,cow[N],N,1,1
cow,M,,S,N,V,S,cow[V],V,1,1
coward,R,,,,,,,N,2,1x
cowardice,C,,SA,N,Nx,SA,coward[N]+ice[N|N.][N],N,3,1xx
cowardliness,C,,SA,N,Nxx,SAA,coward[N]+ly[A|N.][A]+ness[N|A.][N],N,4,1xxx
cowardly,C,,SA,N,Nx,SA,coward[N]+ly[A|N.][A],A,3,1xx
cowbell,C,,SS,N,NN,SS,cow[N]+bell[N][N],N,2,1x
cowboy,C,,SS,N,NN,SS,cow[N]+boy[N][N],N,2,1x
cowcatcher,C,,SS,N,NVx,SSA,cow[N]+catch[V]+er[N|V.][N][N],N,3,1xx
cower,M,,S,N,V,S,cower[V],V,2,1x
cowgirl,C,,SS,N,NN,SS,cow[N]+girl[N][N],N,2,1x
cowhand,C,,SS,N,NN,SS,cow[N]+hand[N][N],N,2,1x
cowheel,C,,SS,N,NN,SS,cow[N]+heel[N][N],N,2,1x
cowherd,C,,SS,N,NN,SS,cow[N]+herd[N][N],N,2,1x
cowhide,C,,SS,N,NN,SS,cow[N]+hide[N][N],N,2,1x
cowhouse,C,,SS,N,NN,SS,cow[N]+house[N][N],N,2,1x
cowl,M,,S,N,N,S,cowl[N],N,1,1
cowl,M,,S,N,V,S,cowl[V],V,1,1
cowlick,C,,SS,N,NV,SS,cow[N]+lick[V][N][N],N,2,1x
cowling,Z,,F,N,V,F,cowling[V][N],N,2,1x
cowman,C,,SS,N,NN,SS,cow[N]+man[N][N],N,2,1x
co-worker,C,,AS,N,xVx,ASA,co[N|.N]+work[V]+er[N|V.][N][N],N,3,x1x
cowpat,C,,SS,N,NN,SS,cow[N]+pat[N][N],N,2,1x
cowpox,C,,SS,N,NN,SS,cow[N]+pox[N][N],N,2,1x
cowrie,R,,,,,,,N,2,1x
cowshed,C,,SS,N,NN,SS,cow[N]+shed[N][N],N,2,1x
cowskin,C,,SS,N,NN,SS,cow[N]+skin[N][N],N,2,1x
cowslip,R,,,,,,,N,2,1x
cox,M,,S,N,N,S,cox[N],N,1,1
cox,Z,,S,N,N,S,cox[N][V],V,1,1
coxcomb,C,,SS,N,NN,SS,cox[N]+comb[N][N],N,2,1x
coxswain,M,,S,N,N,S,coxswain[N],N,2,1x
coxswain,Z,,S,N,N,S,coxswain[N][V],V,2,1x
coy,M,,S,N,A,S,coy[A],A,1,1
coyly,C,,SA,N,Ax,SA,coy[A]+ly[B|A.][B],ADV,2,1x
coyness,C,,SA,N,Ax,SA,coy[A]+ness[N|A.][N],N,2,1x
coyote,M,,S,N,N,S,coyote[N],N,3,x1x
coypu,M,,S,N,N,S,coypu[N],N,2,1x
cozen into,O,,,,,,,V,4,1xxx
cozen out of,I,,,,,,,V,4,xx1x
CP,I,,,,,,,,2,x1
CPA,I,,,,,,,,3,xx1
CP'er,C,,SA,N,?x,SA,CP[?]+er[N|?.][N],N,3,x1x
crab,Z,,S,N,N,S,crab[N][V],V,1,1
crab,M,,S,N,N,S,crab[N],N,1,1
crab,Z,,S,N,N,S,crab[N][V],V,1,1
crab-apple,C,,SS,N,NN,SS,crab[N]+apple[N][N],N,3,1xx
crabbed,Z,,F,N,V,F,crabbed[V][A],A,2,1x
crabbedly,C,,SA,N,Vx,FA,crabbed[V][A]+ly[B|A.][B],ADV,3,1xx
crabbedness,C,,SA,N,Vx,FA,crabbed[V][A]+ness[N|A.][N],N,3,1xx
crabby,C,,SA,N,Nx,SA,crab[N]+y[A|N.][A],A,2,1x
crabgrass,C,,SS,N,NN,SS,crab[N]+grass[N][N],N,2,1x
crab louse,C,,SS,N,NN,SS,crab[N]+louse[N][N],N,2,1x
crabways,C,,SA,N,Nx,SA,crab[N]+ways[B|N.][B],ADV,2,1x
crabwise,C,,SA,N,Nx,SA,crab[N]+wise[B|N.][B],ADV,2,1x
crack,Z,,S,N,V,S,crack[V][N],N,1,1
crack,M,,S,N,V,S,crack[V],V,1,1
crack,Z,,S,N,V,S,crack[V][N][A],A,1,1
crackbrained,C,,SSA,N,VNx,SSA,crack[V]+brain[N]+ed[A|VN.][A],A,2,1x
crack down,C,,SS,N,VB,SS,crack[V]+down[B][V],V,2,x1
crackdown,Z,,S,N,VB,SS,crack[V]+down[B][V][N],N,2,1x
cracked,Z,,F,N,V,F,cracked[V][A],A,1,1
cracker,C,,SA,N,Vx,SA,crack[V]+er[N|V.][N],N,2,1x
crackers,R,B,,,,,,A,2,1x
crackle,Z,,S,N,Vx,SA,crack[V]+le[V|V.][V][N],N,2,1x
crackle,C,,SA,N,Vx,SA,crack[V]+le[V|V.][V],V,2,1x
crackle-china,C,,SS,N,VxN,SAS,crack[V]+le[V|V.][V][N]+china[N][N],N,4,1xxx
crackleware,C,,SS,N,VxN,SAS,crack[V]+le[V|V.][V][N]+ware[N][N],N,3,1xx
crackling,Z,,F,N,V,F,crackling[V][N],N,3,1xx
crackpot,C,,SS,N,VN,SS,crack[V][N]+pot[N][N],N,2,1x
crackpot,C,,SS,N,VN,SS,crack[V]+pot[N][A],A,2,1x
cracksman,C,,SAS,N,VxN,SAS,crack[V][N]+s[N|N.N]+man[N][N],N,2,1x
crackup,C,,SS,N,VB,SS,crack[V]+up[B][N],N,2,1x
cradle,M,,S,N,N,S,cradle[N],N,2,1x
cradle,Z,,S,N,N,S,cradle[N][V],V,2,1x
craft,M,,S,N,N,S,craft[N],N,1,1
craft,Z,,S,N,N,S,craft[N][V],V,1,1
craftily,C,,SA,N,Nxx,SAA,craft[N]+y[A|N.][A]+ly[B|A.][B],ADV,3,1xx
craftiness,C,,SA,N,Nxx,SAA,craft[N]+y[A|N.][A]+ness[N|A.][N],N,3,1xx
craftsman,C,,SAS,N,NxN,SAS,craft[N]+s[N|N.N]+man[N][N],N,2,1x
craftsmanship,C,,SA,N,NxNx,SASA,craft[N]+s[N|N.N]+man[N][N]+ship[N|N.][N],N,3,1xx
craft union,C,,SS,N,NN,SS,craft[N]+union[N][N],N,3,1xx
crafty,C,,SA,N,Nx,SA,craft[N]+y[A|N.][A],A,2,1x
crag,M,,S,N,N,S,crag[N],N,1,1
cragged,C,,SA,N,Nx,SA,crag[N]+ed[A|N.][A],A,1,1
craggy,C,,SA,N,Nx,SA,crag[N]+y[A|N.][A],A,2,1x
cragsman,C,,SAS,N,NxN,SAS,crag[N]+s[N|N.N]+man[N][N],N,2,1x
crake,M,,S,N,N,S,crake[N],N,1,1
cram,M,,S,N,V,S,cram[V],V,1,1
cram-full,C,,SS,N,VA,SS,cram[V]+full[A][B][A],A,2,x1
crammer,C,,SA,N,Vx,SA,cram[V]+er[N|V.][N],N,2,1x
cramp,M,,S,N,N,S,cramp[N],N,1,1
cramp,Z,,S,N,N,S,cramp[N][V],V,1,1
cramped,Z,,F,N,V,F,cramped[V][A],A,1,1
crampon,M,,S,N,N,S,crampon[N],N,2,1x
cramps,Z,,F,N,N,F,cramps[N][N],N,1,1
cranberry,C,,SS,N,NN,SS,crane[N]+berry[N][N],N,3,1xx
crane,M,,S,N,N,S,crane[N],N,1,1
crane,Z,,S,N,N,S,crane[N][V],V,1,1
crane-fly,C,,SS,N,NN,SS,crane[N]+fly[N][N],N,2,1x
cranial,C,,SA,N,Nx,SA,cranium[N]+al[A|N.][A],A,2,1x
cranially,C,,SA,N,Nxx,SAA,cranium[N]+al[A|N.][A]+ly[B|A.][B],ADV,3,1xx
cranium,O,,,,,,,N,2,1x
crank,M,,S,N,N,S,crank[N],N,1,1
crank,Z,,S,N,N,S,crank[N][V],V,1,1
crankshaft,C,,SS,N,NN,SS,crank[N]+shaft[N][N],N,2,1x
cranky,C,,SA,N,Nx,SA,crank[N]+y[A|N.][A],A,2,1x
crannied,C,,SA,N,Nx,SA,cranny[N]+ed[A|N.][A],A,2,1x
cranny,O,,,,,,,N,2,1x
crap,M,,S,N,N,S,crap[N],N,1,1
crap,Z,,S,N,N,S,crap[N][V],V,1,1
crap,I,,,,,,,I,1,1
crape,M,,S,N,N,S,crape[N],N,1,1
crappy,C,,SA,N,Nx,SA,crap[N]+y[A|N.][A],A,2,1x
craps,R,,,,,,,N,1,1
crap-shooting,C,A,SF,N,NV,SF,crap[N]+shooting[V][N],N,3,1xx
crap up,C,,SS,N,NB,SS,crap[N][V]+up[B][V],V,2,x1
crash,M,,S,N,N,S,crash[N],N,1,1
crash,Z,,S,N,N,S,crash[N][V],V,1,1
crash,Z,,S,N,N,S,crash[N][B],ADV,1,1
crash,Z,,S,N,N,S,crash[N][V][A],A,1,1
crash barrier,C,,SS,N,NN,SS,crash[N]+barrier[N][N],N,3,1xx
crash-dive,C,,SS,N,NV,SS,crash[N]+dive[V][N][V],V,2,1x
crash-dive,Z,,S,N,NV,SS,crash[N]+dive[V][N][V][N],N,2,1x
crash-helmet,C,,SS,N,NN,SS,crash[N]+helmet[N][N],N,3,1xx
crashing,Z,,F,N,V,F,crashing[V][A],A,2,1x
crash-land,C,,SS,N,NN,SS,crash[N]+land[N][V][V],V,2,1x
crash-landing,Z,,F,N,V,F,crash-landing[V][N],N,3,x1x
crass,M,,S,N,A,S,crass[A],A,1,1
crassly,C,,SA,N,Ax,SA,crass[A]+ly[B|A.][B],ADV,2,1x
crassness,C,,SA,N,Ax,SA,crass[A]+ness[N|A.][N],N,2,1x
crate,M,,S,N,N,S,crate[N],N,1,1
crate,Z,,S,N,N,S,crate[N][V],V,1,1
crater,R,,,,,,,N,2,1x
cravat,M,,S,N,N,S,cravat[N],N,2,x1
crave,M,,S,N,V,S,crave[V],V,1,1
craven,Z,,S,N,A,S,craven[A][N],N,2,1x
craven,R,,,,,,,A,2,1x
cravenly,C,,SA,N,Ax,SA,craven[A]+ly[B|A.][B],ADV,3,1xx
cravenness,C,,SA,N,Ax,SA,craven[A]+ness[N|A.][N],N,3,1xx
craving,Z,,F,N,V,F,craving[V][N],N,2,1x
crawfish,O,,,,,,,N,2,1x
crawl,Z,,S,N,V,S,crawl[V][N],N,1,1
crawl,M,,S,N,V,S,crawl[V],V,1,1
crawler,C,,SA,N,Vx,SA,crawl[V]+er[N|V.][N],N,2,1x
crawlers,Z,,F,N,N,F,crawlers[N][N],N,2,1x
crayfish,O,,,,,,,N,2,1x
crayon,M,,S,N,N,S,crayon[N],N,2,1x
crayon,Z,,S,N,N,S,crayon[N][V],V,2,1x
craze,M,,S,N,N,S,craze[N],N,1,1
craze,M,,S,N,V,S,craze[V],V,1,1
crazed,Z,,F,N,V,F,crazed[V][A],A,1,1
crazily,C,,SA,N,Nxx,SAA,craze[N]+y[A|N.][A]+ly[B|A.][B],ADV,3,1xx
craziness,C,,SA,N,Nxx,SAA,craze[N]+y[A|N.][A]+ness[N|A.][N],N,3,1xx
crazy,C,,SA,N,Nx,SA,craze[N]+y[A|N.][A],A,2,1x
crazy paving,C,,SS,N,NxV,SAF,craze[N]+y[A|N.][A]+paving[V][N][N],N,4,xx1x
creak,Z,,S,N,V,S,creak[V][N],N,1,1
creak,M,,S,N,V,S,creak[V],V,1,1
creakily,C,,SA,N,Vxx,SAA,creak[V][N]+y[A|N.][A]+ly[B|A.][B],ADV,3,1xx
creakiness,C,,SA,N,Vxx,SAA,creak[V][N]+y[A|N.][A]+ness[N|A.][N],N,3,1xx
creaky,C,,SA,N,Vx,SA,creak[V][N]+y[A|N.][A],A,2,1x
cream,M,,S,N,N,S,cream[N],N,1,1
cream,Z,,S,N,N,S,cream[N][V],V,1,1
cream,Z,,S,N,N,S,cream[N][A],A,1,1
cream cheese,C,,SS,N,NN,SS,cream[N]+cheese[N][N],N,2,x1
creamer,C,,SA,N,Nx,SA,cream[N][A]+er[N|A.][N],N,2,1x
creamery,C,,SA,N,Nx,SA,cream[N]+ery[N|N.][N],N,3,1xx
cream horn,C,,SS,N,NN,SS,cream[N]+horn[N][N],N,2,x1
creaminess,C,,SA,N,Nxx,SAA,cream[N]+y[A|N.][A]+ness[N|A.][N],N,3,1xx
cream off,C,,SS,N,NB,SS,cream[N][V]+off[B][V],V,2,x1
cream of tartar,I,,,,,,,N,4,xx1x
cream puff,C,,SS,N,NV,SS,cream[N]+puff[V][N][N],N,2,x1
cream soda,C,,SS,N,NN,SS,cream[N]+soda[N][N],N,3,x1x
creamy,C,,SA,N,Nx,SA,cream[N]+y[A|N.][A],A,2,1x
crease,Z,,S,N,V,S,crease[V][N],N,1,1
crease,M,,S,N,V,S,crease[V],V,1,1
create,M,,S,N,V,S,create[V],V,2,x1
creation,C,,SA,N,Vx,SA,create[V]+ion[N|V.][N],N,3,x1x
Creation,I,,,,,,,N,3,x1x
creative,C,,SA,N,Vxx,SAA,create[V]+ion[N|V.][N]+ive[A|N.][A],A,3,x1x
creatively,C,,SA,N,Vxxx,SAAA,create[V]+ion[N|V.][N]+ive[A|N.][A]+ly[B|A.][B],ADV,4,x1xx
creativeness,C,,SA,N,Vxxx,SAAA,create[V]+ion[N|V.][N]+ive[A|N.][A]+ness[N|A.][N],N,4,x1xx
creativity,C,,SA,N,Vxxx,SAAA,create[V]+ion[N|V.][N]+ive[A|N.][A]+ity[N|A.][N],N,5,xx1xx
creator,C,,SA,N,Vx,SA,create[V]+or[N|V.][N],N,3,x1x
Creator,I,,,,,,,N,3,x1x
creature,C,,SA,N,Vx,SA,create[V]+ure[N|V.][N],N,2,1x
creature comforts,C,,SF,N,VxN,SAF,create[V]+ure[N|V.][N]+comforts[N][N],N,4,xx1x
creche,U,F,,,,,,N,1,1
credence,O,,,,,,,N,2,1x
credentials,R,,,,,,,N,3,x1x
credibility,C,,SA,N,Ax,SA,credible[A]+ity[N|A.][N],N,5,xx1xx
credibility gap,C,,SS,N,AxN,SAS,credible[A]+ity[N|A.][N]+gap[N][N],N,6,xx1xxx
credible,O,,,,,,,A,3,1xx
credibly,C,,SA,N,Ax,SA,credible[A]+ly[B|A.][B],ADV,3,1xx
credit,M,,S,N,N,S,credit[N],N,2,1x
credit,Z,,S,N,N,S,credit[N][V],V,2,1x
creditable,C,,SA,N,Nx,SA,credit[N][V]+able[A|V.][A],A,4,1xxx
creditably,C,,SA,N,Nxx,SAA,credit[N][V]+able[A|V.][A]+ly[B|A.][B],ADV,4,1xxx
credit account,C,,SS,N,NV,SS,credit[N]+account[V][N][N],N,4,1xxx
credit card,C,,SS,N,NN,SS,credit[N]+card[N][N],N,3,1xx
credit note,C,,SS,N,NN,SS,credit[N]+note[N][N],N,3,1xx
creditor,C,,SA,N,Nx,SA,credit[N][V]+or[N|V.][N],N,3,1xx
credit-side,C,,SS,N,NN,SS,credit[N]+side[N][N],N,3,1xx
credit squeeze,C,,SS,N,NV,SS,credit[N]+squeeze[V][N][N],N,3,1xx
credit titles,C,,SF,N,NN,SF,credit[N]+titles[N][N],N,4,1xxx
credit to,C,,SS,N,NP,SS,credit[N][V]+to[P][V],V,3,1xx
credit with,C,,SS,N,NP,SS,credit[N][V]+with[P][V],V,3,1xx
credit-worthiness,C,,SA,N,NAxx,SSAA,credit[N]+worth[A][N]+y[A|N.][A][N][A]+ness[N|A.][N],N,5,1xxxx
credit-worthy,C,,SS,N,NAx,SSA,credit[N]+worth[A][N]+y[A|N.][A][N][A],A,4,1xxx
credo,M,,S,N,N,S,credo[N],N,2,1x
credulity,C,,SA,N,Ax,SA,credulous[A]+ity[N|A.][N],N,4,x1xx
credulous,O,,,,,,,A,3,1xx
credulously,C,,SA,N,Ax,SA,credulous[A]+ly[B|A.][B],ADV,4,1xxx
credulousness,C,,SA,N,Ax,SA,credulous[A]+ness[N|A.][N],N,4,1xxx
creed,M,,S,N,N,S,creed[N],N,1,1
creek,M,,S,N,N,S,creek[N],N,1,1
creel,M,,S,N,N,S,creel[N],N,1,1
creep,Z,,S,N,V,S,creep[V][N],N,1,1
creep,M,,S,N,V,S,creep[V],V,1,1
creeper,C,,SA,N,Vx,SA,creep[V]+er[N|V.][N],N,2,1x
creepers,Z,,F,N,N,F,creepers[N][N],N,2,1x
creepily,C,,SA,N,Vxx,SAA,creep[V][N]+y[A|N.][A]+ly[B|A.][B],ADV,3,1xx
creep in,C,,SS,N,VP,SS,creep[V]+in[P][B][V],V,2,x1
creepiness,C,,SA,N,Vxx,SAA,creep[V][N]+y[A|N.][A]+ness[N|A.][N],N,3,1xx
creep into,C,,SS,N,VPP,SSS,creep[V]+in[P][B]+to[P][P][V],V,3,1xx
creeps,Z,,F,N,N,F,creeps[N][N],N,1,1
creepy,C,,SA,N,Vx,SA,creep[V][N]+y[A|N.][A],A,2,1x
creepy-crawly,C,,SSA,N,VxVx,SASA,creep[V][N]+y[A|N.][A]+crawl[V]+y[N|AV.][N],N,4,xx1x
cremate,O,,,,,,,V,2,x1
cremation,C,,SA,N,Vx,SA,cremate[V]+ion[N|V.][N],N,3,x1x
crematorium,C,,SA,N,Vx,SA,cremate[V]+orium[N|V.][N],N,4,xx1x
crematory,C,,SA,N,Vxx,SAA,cremate[V]+ion[N|V.][N]+ory[N|N.][N],N,4,1xxx
creme de menthe,U,,,,,,,N,3,xx1
crenellate,O,,,,,,,V,3,1xx
crenellated,Z,,F,N,V,F,crenellated[V][A],A,4,1xxx
creole,M,,S,N,A,S,creole[A],A,2,1x
Creole,M,,S,N,A,S,Creole[A],A,2,1x
creole,M,,S,N,N,S,creole[N],N,2,1x
creosote,M,,S,N,N,S,creosote[N],N,2,1x
creosote,Z,,S,N,N,S,creosote[N][V],V,2,1x
crepe,M,F,S,N,N,S,crepe[N],N,1,1
crepe,M,,S,N,N,S,crepe[N],N,1,1
crepe paper,C,,SS,N,NN,SS,crepe[N]+paper[N][N],N,3,x1x
crepe suzette,U,,,,,,,N,3,xx1
crepitate,O,,,,,,,V,3,1xx
crepitation,C,,SA,N,Vx,SA,crepitate[V]+ion[N|V.][N],N,4,xx1x
crepuscular,O,,,,,,,A,4,x1xx
crescendo,U,,,,,,,N,3,x1x
crescendo,U,,,,,,,A,3,x1x
crescendo,Z,,S,N,A,S,crescendo[A][B],ADV,3,x1x
crescent,O,,,,,,,N,2,1x
crescent,Z,,S,N,N,S,crescent[N][A],A,2,1x
cress,M,,S,N,N,S,cress[N],N,1,1
crest,M,,S,N,N,S,crest[N],N,1,1
crest,Z,,S,N,N,S,crest[N][V],V,1,1
crested,C,,SA,N,Nx,SA,crest[N]+ed[A|N.][A],A,2,1x
crestfallen,C,,SF,N,NV,SF,crest[N]+fallen[V][A],A,3,1xx
cretaceous,O,,,,,,,A,3,x1x
cretin,M,,S,N,N,S,cretin[N],N,2,1x
cretinous,C,,SA,N,Nx,SA,cretin[N]+ous[A|N.][A],A,3,1xx
cretonne,M,,S,N,N,S,cretonne[N],N,2,1x
crevasse,M,,S,N,N,S,crevasse[N],N,2,x1
crevice,R,,,,,,,N,2,1x
crew,M,,S,N,N,S,crew[N],N,1,1
crew,Z,,S,N,N,S,crew[N][V],V,1,1
crew-cut,C,,SS,N,NV,SS,crew[N]+cut[V][N][N],N,2,1x
crewman,C,,SS,N,NN,SS,crew[N]+man[N][N],N,2,1x
crewmember,C,,SS,N,NN,SS,crew[N]+member[N][N],N,3,1xx
crew-neck,C,,SS,N,NN,SS,crew[N]+neck[N][N],N,2,1x
crib,Z,,S,N,V,S,crib[V][N],N,1,1
crib,M,,S,N,V,S,crib[V],V,1,1
cribbage,C,,SA,N,Vx,SA,crib[V][N]+age[N|N.][N],N,2,1x
cribbage-board,C,,SS,N,VxN,SAS,crib[V][N]+age[N|N.][N]+board[N][N],N,3,1xx
crick,Z,,S,N,V,S,crick[V][N],N,1,1
crick,M,,S,N,V,S,crick[V],V,1,1
cricket,M,,S,N,N,S,cricket[N],N,2,1x
cricketer,C,,SA,N,Nx,SA,cricket[N]+er[N|N.][N],N,3,1xx
crier,C,,SA,N,Vx,SA,cry[V]+er[N|V.][N],N,2,1x
crikey,I,B,,,,,,I,2,1x
crime,M,,S,N,N,S,crime[N],N,1,1
crime,Z,,S,N,N,S,crime[N][V],V,1,1
criminal,Z,,S,N,Nx,SA,crime[N]+al[A|N.][A][N],N,3,1xx
criminal,C,,SA,N,Nx,SA,crime[N]+al[A|N.][A],A,3,1xx
criminally,C,,SA,N,Nxx,SAA,crime[N]+al[A|N.][A]+ly[B|A.][B],ADV,4,1xxx
criminologist,C,,SA,N,Nxx,SAA,crime[N]+ology[N|N.][N]+ist[N|N.][N],N,5,xx1xx
criminology,C,,SA,N,Nx,SA,crime[N]+ology[N|N.][N],N,5,xx1xx
crimp,M,,S,N,V,S,crimp[V],V,1,1
Crimplene,I,,,,,,,N,2,1x
crimson,Z,,S,N,A,S,crimson[A][N],N,2,1x
crimson,Z,,S,N,A,S,crimson[A][V],V,2,1x
crimson,M,,S,N,A,S,crimson[A],A,2,1x
crimson lake,C,,SS,N,AN,SS,crimson[A]+lake[N][N],N,3,xx1
cringe,M,,S,N,V,S,cringe[V],V,1,1
crinkle,Z,,S,N,V,S,crinkle[V][N],N,2,1x
crinkle,M,,S,N,V,S,crinkle[V],V,2,1x
crinkliness,C,,SA,N,Vxx,SAA,crinkle[V][N]+y[A|N.][A]+ness[N|A.][N],N,3,1xx
crinkly,C,,SA,N,Vx,SA,crinkle[V][N]+y[A|N.][A],A,2,1x
crinoid,R,,,,,,,N,2,1x
crinoline,M,,S,N,N,S,crinoline[N],N,3,1xx
cripes,I,,,,,,,I,1,1
cripple,M,,S,N,N,S,cripple[N],N,2,1x
cripple,Z,,S,N,N,S,cripple[N][V],V,2,1x
crisis,M,,S,N,N,S,crisis[N],N,2,1x
crisp,Z,B,S,N,A,S,crisp[A][N],N,1,1
crisp,Z,,S,N,A,S,crisp[A][V],V,1,1
crisp,M,,S,N,A,S,crisp[A],A,1,1
crispiness,C,,SA,N,Axx,SAA,crisp[A]+y[A|A.][A]+ness[N|A.][N],N,3,1xx
crisply,C,,SA,N,Ax,SA,crisp[A]+ly[B|A.][B],ADV,2,1x
crispness,C,,SA,N,Ax,SA,crisp[A]+ness[N|A.][N],N,2,1x
crispy,C,,SA,N,Ax,SA,crisp[A]+y[A|A.][A],A,2,1x
crisscross,Z,,S,N,A,S,crisscross[A][V],V,2,1x
crisscross,R,,,,,,,A,2,1x
crisscross,Z,,S,N,A,S,crisscross[A][B],ADV,2,1x
crisscross,Z,,S,N,A,S,crisscross[A][V][N],N,2,1x
criterion,O,,,,,,,N,3,x1x
critic,O,,,,,,,N,2,1x
critical,C,,SA,N,Nx,SA,critic[N]+al[A|N.][A],A,3,1xx
critically,C,,SA,N,Nxx,SAA,critic[N]+al[A|N.][A]+ly[B|A.][B],ADV,4,1xxx
criticism,C,,SA,N,Nx,SA,critic[N]+ism[N|N.][N],N,4,1xxx
criticize,C,,SA,N,Nx,SA,critic[N]+ize[V|N.][V],V,3,1xx
critique,U,,,,,,,N,2,x1
critter,O,,,,,,,N,2,1x
croak,Z,,S,N,V,S,croak[V][N],N,1,1
croak,M,,S,N,V,S,croak[V],V,1,1
crochet,Z,,S,N,V,S,crochet[V][N],N,2,1x
crochet,M,,S,N,V,S,crochet[V],V,2,1x
crochet-hook,C,,SS,N,VN,SS,crochet[V][N]+hook[N][N],N,3,1xx
crock,M,,S,N,N,S,crock[N],N,1,1
crock,Z,,S,N,N,S,crock[N][V],V,1,1
crockery,O,,,,,,,N,3,1xx
crocodile,M,,S,N,N,S,crocodile[N],N,3,1xx
crocodile tears,C,,SF,N,NN,SF,crocodile[N]+tears[N][N],N,4,1xxx
crocus,M,,S,N,N,S,crocus[N],N,2,1x
croft,M,B,S,N,N,S,croft[N],N,1,1
crofter,C,B,SA,N,Nx,SA,croft[N]+er[N|N.][N],N,2,1x
croissant,U,,,,,,,N,2,1x
cromlech,M,,S,N,N,S,cromlech[N],N,2,1x
crone,M,,S,N,N,S,crone[N],N,1,1
crony,O,,,,,,,N,2,1x
crook,M,,S,N,N,S,crook[N],N,1,1
crook,Z,,S,N,N,S,crook[N][V],V,1,1
crook,Z,,S,N,N,S,crook[N][A],A,1,1
crook-back,C,,SS,N,NN,SS,crook[N]+back[N][A],A,2,1x
crook-backed,C,,SSA,N,NNx,SSA,crook[N]+back[N]+ed[A|NN.][A],A,2,1x
crooked,Z,,F,N,V,F,crooked[V][A],A,2,1x
crookedly,C,,SA,N,Vx,FA,crooked[V][A]+ly[B|A.][B],ADV,3,1xx
crookedness,C,,SA,N,Vx,FA,crooked[V][A]+ness[N|A.][N],N,3,1xx
croon,M,,S,N,V,S,croon[V],V,1,1
crooner,C,,SA,N,Vx,SA,croon[V]+er[N|V.][N],N,2,1x
crop,M,,S,N,N,S,crop[N],N,1,1
crop,Z,,S,N,N,S,crop[N][V],V,1,1
crop-dusting,C,,SF,N,NV,SF,crop[N]+dusting[V][N],N,3,1xx
crop out,C,,SS,N,NB,SS,crop[N][V]+out[B][V],V,2,x1
cropper,O,,,,,,,N,2,1x
cropper,C,,SA,N,Nx,SA,crop[N][V]+er[N|V.][N],N,2,1x
