"word","morphs","pos","lexdec","aoa","conc","freq"
"negligence",2,"NN",776.15,12.16,2.04,91
"novelist",2,"NN",723.27,10.26,4.07,61
"unpleasantness",4,"NN",1067.93,9,2,29
"chauvinism",2,"NN",903.41,13.35,1.86,12
"womb",1,"NN",700.88,9.48,4.37,177
"blues",2,"NN",569.17,9.81,2.31,523
"evildoer",3,"NN",881.68,8.33,2.81,3
"mummify",1,"VB",766.81,10.22,3.71,4
"wildcat",2,"NN",639.32,7.44,4.79,71
"lesion",1,"NN",719.65,12.82,4.38,30
"retarded",3,"JJ",725.09,8,2.57,318
"fatality",3,"NN",807.97,10.26,3.5,46
"mutilate",1,"VB",903.96,12.74,3.86,29
"perverse",1,"JJ",727.43,13.11,1.96,66
"momentum",2,"NN",781.76,10.17,2.5,87
"rarity",2,"NN",794.14,10.94,2.24,20
"treasurer",2,"NN",762.21,9.89,3.73,57
"predominant",3,"JJ",789.09,14.56,2.33,7
"baklava",1,"NN",882.94,15.69,4.32,15
"curate",2,"NN",739.44,15.67,2.42,5
"mutate",2,"VB",719.3,8.78,2.52,24
"orgy",1,"NN",693.52,13.95,3.67,87
"igloo",1,"NN",801.45,5.42,4.73,15
"criticize",2,"VB",703.71,9.71,2.03,110
"unrelieved",3,"JJ",1005.69,11.45,1.79,1
"metamorphic",3,"JJ",777.56,12.61,2.62,3
"dipstick",2,"NN",818,10.78,3.81,25
"rugby",2,"NN",733.57,11.42,4.33,44
"stepfather",2,"NN",692.09,8.42,4,151
"trashy",2,"JJ",722.5,7.89,2.81,54
"sandalwood",2,"NN",798.36,13,4.71,13
"distinction",2,"NN",725.26,10.35,2.08,150
"macrobiotic",3,"JJ",1051.77,17.28,2.26,4
"newscast",3,"NN",793.61,7.2,4.26,27
"indirect",2,"JJ",802,11.26,2.57,21
"lens",1,"NN",605.52,9.53,4.64,238
"rustler",2,"NN",747.32,11,3.88,25
"omnipotent",3,"JJ",951.78,11.35,1.92,19
"maverick",1,"NN",805.25,12.44,2.96,134
"chapter",1,"NN",637.39,6.42,3.43,604
"tubby",2,"JJ",785.3,10.12,3.07,31
"silky",2,"JJ",590,9.1,4.12,40
"snakebite",2,"NN",690.17,6.72,4.7,16
"syndication",3,"NN",923.14,14.65,2.41,15
"art",1,"NN",521.74,6.21,4.17,3611
"paperback",2,"NN",672.94,7.94,4.57,23
"misshapen",3,"JJ",899.29,10.95,3,15
"lockout",2,"NN",672.94,12,3.15,16
"abode",1,"NN",855.83,12.06,3.92,33
"trauma",1,"NN",763.91,9.72,2.72,869
"absenteeism",4,"NN",963.42,13.43,2.35,5
"jitterbug",2,"NN",744.06,8.26,3.68,19
"dictator",3,"NN",752.52,10.6,4.29,108
"reproductive",4,"JJ",851.91,11.2,2.63,54
"chicory",1,"NN",981.09,12.5,4.05,8
"integer",1,"NN",791.07,10.22,3.48,7
"domineer",2,"VB",758,10.31,2.12,2
"melon",1,"NN",612.97,4.21,4.78,218
"lighthearted",3,"JJ",847.81,11.8,2,11
"urethra",1,"NN",832.65,12.68,4.37,12
"saliva",1,"NN",732.56,8.42,4.89,135
"supplement",2,"NN",659.63,11.45,3.07,58
"seductive",3,"JJ",633.08,11.89,2.48,38
"confession",2,"NN",600.94,8.55,2.4,841
"sandpiper",3,"NN",753.76,11.21,4.61,8
"install",2,"VB",688.3,10.14,3.19,138
"poignancy",2,"NN",913.28,13.07,1.65,2
"womanly",2,"JJ",707.68,10.95,2.48,8
"nutcracker",3,"NN",721.09,7.24,4.81,36
"mule",1,"NN",575.76,5.65,5,358
"regionalism",3,"NN",937.18,13.45,2.05,1
"retentiveness",4,"NN",1087.71,14.36,1.71,1
"turmoil",1,"NN",681.04,12.84,2.11,63
"reindeer",2,"NN",765.5,3.58,4.7,172
"scooter",2,"NN",657.47,6.68,4.96,139
"backgammon",2,"NN",847.59,10,4.47,37
"ministry",2,"NN",689.87,9.61,3.21,196
"eruption",3,"NN",817.77,7.53,3.56,20
"legendary",2,"JJ",679.5,9.89,2.04,205
"burr",1,"NN",855.39,9.33,3.93,35
"poetical",3,"JJ",907.78,10.95,1.71,2
"distinguish",1,"VB",679.44,11.28,2.2,91
"misprint",2,"NN",725.81,11.45,3.69,14
"beacon",1,"NN",646.28,11.37,4.38,197
"broth",1,"NN",686.75,9,4.68,45
"hysterectomy",4,"NN",1015.46,14.44,3.83,31
"math",1,"NN",687.5,5.56,3.15,836
"understate",2,"VB",859.61,12.26,2.08,5
"probable",2,"JJ",753.29,11.61,1.48,167
"headman",2,"NN",681,10.59,3.74,15
"chemistry",3,"NN",672.29,9.94,3.64,442
"ecological",4,"JJ",813.87,13.39,2.62,23
"efficient",3,"JJ",707.82,11.53,1.82,253
"punishment",3,"NN",705,5.47,2.46,685
"newscaster",4,"NN",771.5,9.56,4.5,29
"handmaiden",3,"NN",906.32,9.93,4.64,10
"underclothing",3,"NN",891.26,7,4.29,1
"verb",1,"NN",631.18,8,2.85,54
"conductivity",4,"NN",910.88,14.15,2.67,3
"hairpin",2,"NN",818.39,8.17,4.83,18
"computer",3,"NN",592.41,9.7,4.93,3011
"abolish",1,"VB",703.22,10.42,2.19,24
"faraway",2,"JJ",881.1,7.44,2.96,93
"cafeteria",1,"NN",768.79,7.15,4.71,289
"observable",2,"JJ",740.48,10.63,2.3,4
"workday",2,"NN",660.56,9.06,3.68,13
"prompter",2,"NN",739.93,14.11,4,8
"camaraderie",1,"NN",977.06,12.22,2.19,27
"withhold",2,"VB",706.91,12.3,2.68,53
"coupler",2,"NN",829.54,12.47,3.6,4
"embarrass",1,"VB",816.94,6.11,2.14,450
"financier",2,"NN",887.42,14,3.46,17
"hour",1,"NN",615.7,5.85,3.1,8277
"ankle",1,"NN",637.39,4.89,4.81,409
"rundown",2,"JJ",720.5,7.78,2.3,74
"railway",2,"NN",677.06,6.65,4.63,80
"noticeable",2,"JJ",658.52,8.06,2.29,45
"pathway",2,"NN",704.5,6.5,4.28,58
"intermingle",2,"VB",939.53,12.78,2.56,5
"condescension",4,"NN",988.42,14.07,2.3,9
"rubbery",3,"JJ",805,7.53,3.24,9
"arthritis",2,"NN",885.62,11.67,3.5,99
"raft",1,"NN",660.68,7.35,5,240
"larynx",1,"NN",894.08,12.72,4.5,58
"sentimentality",4,"NN",910.87,12.17,1.73,24
"savings",3,"NN",592.39,8.79,3.32,384
"athletics",2,"NN",646.06,8.35,3.65,32
"liquidation",4,"NN",932.09,10.69,2.81,7
"phonetics",2,"NN",892.84,10.94,2.38,5
"transform",2,"VB",690.67,8.17,2.41,112
"coastal",2,"JJ",656.15,8.11,3.89,43
"tutu",1,"NN",937.65,7,4.68,35
"unending",3,"JJ",1106.92,9,1.93,25
"brontosaurus",3,"NN",926,8.17,4.52,11
"inquisitive",3,"JJ",961.13,12.12,1.83,51
"permutation",3,"NN",1003.05,14.4,2.26,3
"unscathed",3,"JJ",856.96,11.47,2.8,19
"helicopter",1,"NN",739.35,5.26,4.62,806
"consider",1,"VB",646.85,9.33,1.68,2676
"sculptor",2,"NN",719.16,9.84,4.09,46
"corny",2,"JJ",668.59,8.84,2.18,202
"sinus",1,"NN",698.23,10.05,4.27,89
"speller",2,"NN",800.33,7.39,3.07,17
"whiplash",2,"NN",837.22,11.68,3.5,90
"cervix",2,"NN",749.55,14.67,4.62,21
"lobster",1,"NN",596.06,7.44,4.86,374
"underage",2,"JJ",979.56,11.05,3.14,111
"slipcover",2,"NN",792.91,10.37,4.69,2
"plagiarize",2,"VB",780.21,12.24,3.04,2
"perpetuation",3,"NN",810.54,14.07,2.15,2
"resume",2,"VB",588.36,13.47,4,290
"anchovy",1,"NN",992.6,9.32,4.96,7
"mispronounce",3,"VB",962.38,9.47,2.63,9
"mangy",2,"JJ",918.71,8.78,3.24,81
"disappoint",2,"VB",823.5,7,1.89,431
"progress",2,"NN",641.85,9,2.12,1084
"bell",1,"NN",560.75,3.89,4.96,2006
"underling",2,"NN",930.7,12.3,2.86,8
"mosque",1,"NN",834.93,14.12,4.54,60
"omnivorous",3,"JJ",984.48,11.53,2.62,2
"reshuffle",2,"NN",848.32,9,3.73,4
"roughness",2,"NN",705.72,8.39,3.39,4
"vessel",1,"NN",741.37,9.94,4.66,477
"emcee",2,"NN",833.33,12.94,4.46,26
"germination",3,"NN",877.52,11.53,3.42,1
"dialogue",2,"NN",618.65,11,3,208
"shale",1,"NN",705.11,11.94,3.84,9
"gunplay",2,"NN",837.63,10.45,3.39,21
"visitor",2,"NN",673.44,6.37,4.25,446
"office",1,"NN",598.68,6.68,4.93,10399
"revalue",2,"VB",1116.85,12.22,1.7,1
"dismiss",2,"VB",757.4,8.15,2.39,279
"bask",1,"VB",821.73,10.95,3.03,29
"troublemaker",3,"NN",770.75,8.22,2.96,110
"pullback",2,"NN",768.81,10.6,2.83,1
"aristocracy",2,"NN",925.03,11,2.97,32
"varsity",1,"NN",676.69,11.63,2.93,89
"electoral",3,"JJ",744.97,12,2.24,26
"affiliate",2,"VB",813.34,12,2.5,15
"tinsmith",2,"NN",987.18,11.43,4.38,1
"foreground",2,"NN",792.29,10.85,2.93,22
"synthesizer",4,"NN",849.9,10.89,4.04,27
"derby",2,"NN",744.43,10.45,4.07,112
"protect",1,"VB",602.38,6.79,2.86,3583
"divert",2,"VB",736.48,11.33,2.86,103
"deject",2,"VB",684.96,12.33,1.73,1
"clay",1,"NN",581.38,5.32,4.93,612
"lobbyist",2,"NN",784.1,13.28,3.71,22
"greenhouse",2,"NN",615.09,9.22,4.76,112
"preen",1,"VB",697.69,13.23,2.91,3
"guardhouse",2,"NN",786.67,9.28,4.67,36
"vampire",1,"NN",623.58,7.16,4.18,894
"path",1,"NN",603.64,6.11,4.41,1252
"snot",1,"NN",667.76,5.47,4.48,108
"teach",1,"VB",622.67,4.67,3.15,3715
"incarnation",4,"NN",842.52,11.95,1.68,18
"saucer",2,"NN",670.33,8.44,4.79,140
"cupful",2,"NN",773.7,6.4,4.04,1
"sever",1,"VB",847.52,9.05,4,80
"talent",1,"NN",604.41,7,2.19,1332
"destitution",3,"NN",861.28,13.55,2.08,2
"grenade",1,"NN",877.67,9.72,4.9,235
"collagen",1,"NN",864.32,14.67,3.67,39
"ascribe",2,"VB",836.67,15.28,2.44,5
"bumpy",2,"JJ",756.74,5.11,3.76,190
"clubfoot",2,"NN",857.56,11.17,4.46,9
"meadow",1,"NN",744.55,6.89,4.86,116
"racketeer",2,"NN",820.56,14.35,3.27,9
"steadiness",2,"NN",665.38,8.89,2.65,3
"phantom",1,"NN",730.31,8.35,2.43,208
"convolution",3,"NN",1001.8,14,1.82,1
"shorten",2,"VB",641.32,7.33,3.11,52
"bidder",2,"NN",804.95,9.32,3.4,88
"canoe",1,"NN",723.58,6.63,4.86,182
"sister",1,"NN",584.88,3.68,4,9207
"thirsty",2,"JJ",604.69,3.89,3.86,627
"summertime",2,"NN",689.25,5.22,2.96,61
"dentistry",3,"NN",835.29,8.81,3.64,19
"hatred",2,"NN",695.53,8.72,2,276
"quantifiable",3,"JJ",966.5,14.67,2.48,4
"emasculate",3,"VB",952.3,14.5,2.37,8
"rearrange",2,"VB",863.71,8.11,3.26,88
"maniacal",2,"JJ",792.5,13.29,1.96,27
"creator",2,"NN",621.06,6.84,3.07,142
"undermine",2,"VB",778.68,12.47,1.9,74
"respirator",4,"NN",869.06,10.11,4.56,37
"parliament",1,"NN",815.76,12,3.76,114
"clever",1,"JJ",604.48,7.5,1.79,1391
"pint",1,"NN",648.97,8.37,4.43,167
"unknowing",3,"JJ",747.72,8.5,1.43,13
"cloudburst",2,"NN",928.26,14.29,3.78,2
"realism",2,"NN",666.86,13.47,1.33,36
"rat",1,"NN",521.97,5.11,4.85,1663
"rattlesnake",2,"NN",703.73,6.78,5,86
"renew",2,"VB",645.55,10.06,2.07,111
"deceptive",3,"JJ",745.03,10.83,1.78,26
"obstacle",1,"NN",763.71,7.84,3.48,132
"alphabet",1,"NN",657.89,4.22,4.31,127
"formaldehyde",1,"NN",923.6,11.39,4.61,34
"eyeglasses",3,"NN",727.65,4.9,4.92,34
"unshielded",3,"JJ",941.58,11.19,2.59,1
"crossover",2,"NN",648.36,10.17,2.65,20
"icy",2,"JJ",602.28,5.83,4.22,135
"bumper",1,"JJ",704.91,7.32,4.96,181
"creamery",2,"NN",828.41,11.17,4.03,6
"assemble",2,"VB",619.24,8.72,3.67,163
"steeple",1,"NN",757.88,7.21,4.74,21
"errand",1,"NN",802.44,6.94,3.37,204
"psychedelic",1,"JJ",946.75,12.32,2.97,40
"unpleasant",3,"JJ",661.26,9.32,1.91,311
"stooge",1,"NN",776.46,8.56,3.31,56
"hazardous",2,"JJ",770.65,8,3.1,94
"bumblebee",2,"NN",780.75,4.11,4.96,33
"standpoint",2,"NN",727.67,12.11,1.71,68
"cranberry",2,"NN",697.03,6.45,4.96,99
"primrose",1,"NN",920.95,12.53,4.08,20
"dealer",2,"NN",675.64,9.39,3.76,831
"successful",3,"JJ",681.24,8.56,2.07,1037
"nunnery",2,"NN",846.08,13.93,3.5,23
"arbitrator",3,"NN",918.22,14.37,3.2,4
"scabies",1,"NN",981.61,12,4.24,1
"chemotherapy",3,"NN",1006.83,12.53,4.35,59
"nobleman",2,"NN",826.06,9.74,3.85,37
"congress",2,"NN",644.03,9.05,3.9,419
"seem",1,"VB",617.61,6.74,1.75,7131
"checklist",2,"NN",661.48,7.78,4.61,39
"purification",3,"NN",897,10.89,2.31,25
"rancid",1,"JJ",682.57,9.94,2.97,25
"friar",1,"NN",804,9.22,3.88,88
"aide",1,"NN",707.21,7.83,3.59,103
"penniless",2,"JJ",734.43,10.75,2.44,63
"mitigation",2,"NN",887.64,13.89,2,3
"upstart",2,"NN",683.85,11,2.64,21
"duct",1,"NN",648.59,10.74,4.74,160
"perishable",2,"JJ",785.45,11.72,2.83,13
"crossword",2,"NN",671.09,7.21,4.48,89
"prepare",1,"VB",677.88,7.72,2.36,1711
"haze",1,"NN",569,11.62,4.04,77
"amulet",1,"NN",783.91,11.53,4,118
"affix",2,"NN",781.1,11.94,2.44,6
"discernible",3,"JJ",1075.71,12.56,1.78,9
"peroxide",2,"NN",895.66,9.84,4.93,55
"godchild",2,"NN",877.8,8.06,3.65,2
