"word","morphs","pos","lexdec","aoa","conc","freq"
"decency",2,"NN",752.75,9,2,236
"takeoff",2,"NN",736.13,7.35,3.41,125
"unconcerned",4,"JJ",817.82,9.56,2.07,16
"fedora",1,"NN",775.21,12.69,4.5,13
"depict",2,"VB",753.9,11.5,2.13,27
"alternation",3,"NN",799.4,12.32,3,2
"cauldron",1,"NN",794.08,9.61,4.61,24
"decipher",2,"VB",759.85,10.84,2.83,87
"compression",3,"NN",732.77,11.83,3.07,63
"unsaddle",2,"VB",927.94,10,3.79,3
"stinger",2,"NN",728.34,7.79,4.3,45
"mound",1,"NN",630.79,7.71,4.63,77
"waterway",2,"NN",684.15,9.39,4.4,6
"simultaneous",2,"JJ",890.24,11.68,2.25,29
"previous",1,"JJ",598.76,8.44,2.52,484
"gentlemanly",3,"JJ",1069.04,7.78,2.21,21
"impoverish",1,"VB",804.97,12.56,2.23,1
"priesthood",2,"NN",770.34,10.21,3,39
"warehouse",2,"NN",717.76,8.58,4.69,509
"rapidity",2,"NN",665.7,12.82,2.46,5
"lovesick",2,"JJ",722.67,9.68,2.09,35
"recognition",3,"NN",696.13,9.5,2.39,233
"embarrassment",2,"NN",804.41,6.28,2.43,247
"unkind",2,"JJ",633.88,7.21,2.22,71
"trout",1,"NN",686.86,8.56,4.72,205
"tracksuit",2,"NN",987.61,10.5,4.73,4
"controller",2,"NN",662.06,10.32,4.33,66
"layering",2,"VB",755.09,8.78,3.43,7
"response",1,"NN",628.03,7.22,3,821
"smoky",2,"JJ",696.73,6.58,4.04,34
"sorority",2,"NN",791.03,14.22,3.48,96
"kelp",1,"NN",757.29,10.22,4.9,63
"pestilence",2,"NN",841.43,13.06,2.91,30
"retaliation",2,"NN",876.9,13,2.48,48
"cutlery",1,"NN",812.67,9.89,4.75,18
"westerner",3,"NN",977.38,9.17,3.27,10
"cartwheel",2,"NN",727.13,5.94,4.63,15
"primeval",2,"JJ",866.8,14.22,2.32,15
"bonehead",2,"NN",718.69,9.44,3.29,60
"chipmunk",1,"NN",686.75,4.7,4.97,42
"totalitarianism",3,"NN",1003.14,15.12,2.12,2
"depravation",2,"NN",840.28,13.62,2.32,3
"reevaluation",5,"NN",987.1,12.17,2.07,5
"skimmer",2,"NN",744.84,10.82,3.39,7
"unsuspecting",3,"JJ",1001.36,9.72,1.73,53
"inopportune",3,"JJ",1080.53,13.22,1.77,13
"snide",1,"JJ",680.68,10.33,2.04,28
"snippy",2,"JJ",732.36,10.58,2.68,47
"divisive",2,"JJ",758.47,13.18,2.08,7
"workbench",2,"NN",738.27,6.78,4.62,10
"torrent",1,"NN",814.04,13.35,3.31,21
"regalia",3,"NN",966.42,14.08,3.78,6
"scallywag",1,"NN",994.21,11.94,2.25,3
"guttural",1,"JJ",786.63,14.67,2.46,8
"incandescent",2,"JJ",949.68,15.44,3,17
"ether",1,"NN",853.83,13.44,3.88,108
"incredible",3,"JJ",820.03,8.8,1.93,1928
"explain",1,"VB",586.16,6.5,1.97,5670
"epilepsy",2,"NN",802,12.39,3.29,53
"dissension",3,"NN",829.86,15.75,2.04,14
"sourpuss",2,"NN",969.45,8.83,2.73,25
"exacerbate",3,"VB",981.07,13.93,2.17,7
"emporium",2,"NN",809.33,13.78,3.86,44
"unsmiling",3,"JJ",1020.12,8.83,2.78,6
"enchantment",2,"NN",755.84,10.16,1.63,29
"plagiarist",2,"NN",988.89,13.06,3.35,1
"habitat",2,"NN",710.38,9.44,3.9,114
"runt",1,"NN",695.81,8.39,3.44,125
"unforgivable",3,"JJ",797.78,9.58,1.32,100
"dissent",2,"NN",765.57,11.44,2.17,30
"herpes",1,"NN",813.33,11.37,3.88,66
"crumbly",2,"JJ",775.31,7.61,3.19,6
"pulpit",1,"NN",774.17,11,4.14,31
"comeback",2,"NN",612.67,9.8,2.23,170
"biologist",3,"NN",759.59,10.9,3.96,64
"undercarriage",3,"NN",953.55,11.28,4.54,20
"tend",1,"VB",651.71,9.79,2,626
"falsehood",2,"NN",722.94,11.94,2,10
"outbuilding",3,"NN",1015.03,10.62,3.89,11
"plight",1,"NN",762.18,11.97,2.04,63
"tea",1,"NN",530.15,5.47,4.69,2990
"iceberg",2,"NN",646.81,8.21,4.96,92
"caffeine",1,"NN",684.78,9.16,4.04,150
"mommy",2,"NN",745.09,2.5,4.07,3617
"kitten",1,"NN",611.26,3.64,4.86,241
"bedtime",2,"NN",600.09,3.95,2.9,316
"teahouse",2,"NN",882.74,10.44,4.57,42
"distasteful",3,"JJ",901.42,10.11,1.83,60
"anthology",3,"NN",813.57,14.47,3.07,14
"straggler",2,"NN",782.17,10.56,3.57,12
"detective",2,"NN",716.5,6.58,4.21,3117
"meat",1,"NN",579.35,4.42,4.9,2226
"bearded",2,"JJ",837.13,7.2,4.62,65
"upgrade",2,"VB",714.88,9.17,2.36,110
"vowel",1,"NN",641.45,6.53,3.8,36
"misadventure",4,"NN",911.65,9.56,1.76,10
"windowless",2,"JJ",956.97,8.61,3.86,10
"omelet",1,"NN",776.08,6.5,4.93,121
"assure",2,"VB",736.41,12.06,2.43,1021
"interpolation",3,"NN",1195.82,13.6,1.36,2
"loin",1,"NN",690.93,11.06,4.38,18
"decomposition",5,"NN",845.88,13.75,3.1,26
"flagship",2,"NN",770.55,13.12,3.89,49
"modulation",3,"NN",867.59,13.94,2.64,7
"icebreaker",3,"NN",711.23,9.72,3.17,21
"sedentary",1,"JJ",842.77,13.53,2.22,9
"denominational",5,"JJ",1076.52,10.95,1.72,1
"capability",2,"NN",772.54,9.4,1.93,70
"framer",2,"NN",705.14,10.74,3.7,3
"princely",2,"JJ",876.93,9.39,2.12,6
"fairness",2,"NN",673.73,5.61,1.83,104
"desperado",1,"NN",849.91,12.79,3.44,22
"stamina",1,"NN",819.63,10.94,2.81,81
"goddess",2,"NN",696.03,8.37,2.63,447
"stewardess",2,"NN",839.65,9.35,4.31,161
"lanyard",1,"NN",948,12.14,4.46,4
"peripheral",3,"JJ",776.72,13.67,3.07,49
"changeable",2,"JJ",830.69,10.37,2.2,13
"crate",1,"NN",705.52,7.06,4.93,209
"scanner",2,"NN",661.48,11.37,4.79,150
"greasy",2,"JJ",585.39,6.39,3.82,199
"breastbone",2,"NN",764.23,10.75,4.33,9
"abrasive",2,"JJ",710.59,12.22,3.03,23
"robbery",2,"NN",592.28,7.43,3.93,1175
"sleeveless",2,"JJ",863.12,6.75,4.6,5
"imprudent",3,"JJ",748.64,12.88,1.89,12
"stagnate",2,"VB",870.31,12.12,2.81,4
"emphasize",3,"VB",665.47,11.26,2,56
"untie",2,"VB",768.06,4.84,3.89,264
"menace",1,"NN",661.21,9.47,2.3,190
"underwriter",3,"NN",863.09,15.16,3.24,4
"mythical",3,"JJ",712.15,7.11,2,45
"firebrand",2,"NN",836.85,12.29,2.8,1
"peacetime",2,"NN",786.67,10.25,2.44,22
"caliber",1,"NN",790.03,11.06,3,139
"cupcake",2,"NN",704.45,4.11,5,167
"inkwell",2,"NN",817.07,11.76,4.52,13
"backtalk",2,"NN",800.88,7.89,3.11,3
"retaliate",1,"VB",859.55,10,2.25,64
"confuse",1,"VB",703.8,6.33,2.04,243
"doorman",2,"NN",679.63,9.32,4.79,162
"trouser",1,"NN",680.25,7.22,4.89,20
"idiosyncrasy",3,"NN",996.35,14.07,1.74,10
"stockyard",2,"NN",756.56,11.14,4.58,11
"unspoken",3,"JJ",674.77,9.3,2.21,58
"penance",1,"NN",700.85,12.5,1.52,73
"utopianism",5,"NN",992.86,14.12,1.35,2
"frigidity",2,"NN",868.27,12.79,2.5,3
"havoc",1,"NN",793.41,10.5,2.18,69
"disown",2,"VB",843.05,11.61,1.56,21
"reorganize",3,"VB",974.48,9.59,2.74,21
"hallucinate",2,"VB",913.39,10.53,2.52,15
"assembly",3,"NN",602,6.94,3.79,245
"fishmonger",2,"NN",897.55,13.65,3.92,6
"cinematic",1,"JJ",886.77,11.26,2.92,26
"rift",1,"NN",785.55,12,3.4,55
"polio",1,"NN",779.84,11.67,3.59,45
"algebra",1,"NN",697.39,11.47,3.14,90
"breakaway",2,"NN",663.76,11.79,2.78,34
"advent",2,"NN",681.88,10.38,2.48,24
"capable",1,"JJ",667,9.16,2.21,1062
"desolation",2,"NN",927.83,12.79,2.25,31
"astound",1,"VB",809.68,12.41,1.93,22
"squelch",1,"VB",826.68,11.75,2.92,12
"gallery",1,"NN",598.97,8.68,4.44,434
"volcanic",2,"JJ",770.32,8.33,3.93,57
"boatman",2,"NN",667,8.72,4.73,30
"exoneration",2,"NN",1006.2,12.36,1.9,5
"commiserate",3,"VB",959.09,13,1.9,9
"bombardment",2,"NN",976.75,11.37,2.81,43
"conclave",1,"NN",899.68,12.93,2.96,2
"product",2,"NN",576.28,8.05,4.17,752
"unimpeachable",3,"JJ",1210.19,12.68,1.48,7
"beet",1,"NN",723.33,6.56,4.8,14
"life",1,"NN",519.56,5.89,2.69,40629
"chronograph",2,"NN",775.64,13.4,4.19,2
"edification",2,"NN",978,14.44,1.79,15
"glutton",1,"NN",733.32,12.22,3.16,31
"irreconcilable",4,"JJ",1222.19,14.41,1.64,6
"scary",2,"JJ",647.12,4.26,3,1336
"mainland",2,"NN",634.29,11.63,4.31,154
"consumption",3,"NN",665.31,11.95,3.16,94
"predictor",2,"NN",835.89,10.5,2.82,3
"settler",2,"NN",727.28,9.72,4.11,4
"babe",1,"NN",631,6.61,3.67,1814
"fissure",1,"NN",782.67,14.47,3.83,22
"hick",1,"NN",713.93,8.94,3.45,102
"cholera",1,"NN",792.42,12.69,3.26,56
"homosexuality",4,"NN",801.82,12.55,3.03,49
"unconvincing",3,"JJ",922.35,10.74,1.93,5
"blurb",1,"NN",830.86,11.56,3.04,13
"specter",1,"NN",690.9,13.67,3.04,17
"originator",3,"NN",759.5,12.61,2.52,3
"brig",1,"NN",922.23,12.82,4.48,155
"observer",2,"NN",731.09,9.7,3.88,188
"biter",2,"NN",879.44,6,3.88,29
"complexity",3,"NN",696.12,12.16,1.87,41
"authority",2,"NN",641.29,7.5,2.34,1082
"seriousness",2,"NN",767.94,8.1,1.5,64
"deference",3,"NN",861.07,12.88,1.92,19
"conspiracy",2,"NN",684.35,11.24,1.76,526
"trombone",1,"NN",808.9,7.83,4.9,65
"faith",1,"NN",573.25,7.62,1.63,2363
"revelation",2,"NN",809.36,9.95,2.21,140
"regimentation",2,"NN",1023.13,12.94,1.88,5
"mango",1,"NN",708.1,8.22,5,84
"consensus",2,"NN",836.58,12.32,2.32,83
"disorder",2,"NN",614.27,8.78,3.1,364
"footage",2,"NN",755.91,9.41,3.42,422
"cubism",2,"NN",870.83,13.21,2.92,6
"bulkhead",2,"NN",798.41,13.07,4.17,48
"bearings",3,"NN",611.18,10.15,3,85
"bullion",1,"NN",909.81,12.94,4.26,43
"nuisance",1,"NN",816.65,9.59,2.19,164
"paintbox",2,"NN",784.18,6.35,4.65,5
"atomic",2,"JJ",662.27,10.16,2.93,249
"anxious",2,"JJ",598.76,10.21,1.68,719
"adventure",3,"NN",631.23,5.67,2.59,685
"pawnbroker",3,"NN",833.3,14.19,4.37,9
"separable",2,"JJ",683.89,11.33,2.63,1
"locate",1,"VB",640.45,7.95,2.97,524
"prepayment",3,"NN",908.44,12.45,2.93,4
"barbarian",2,"NN",807.1,9.76,3.52,92
"gauntlet",1,"NN",788.19,13.12,4.43,39
"stethoscope",2,"NN",960.47,8.5,4.86,48
"person",1,"NN",614.61,4.67,4.72,10857
"undersized",3,"JJ",754.71,9.11,2.65,4
"woodblock",2,"NN",812.79,8.56,4.59,1
"suburb",2,"NN",744.97,9.52,3.76,30
"uncle",1,"NN",621.14,4.47,4.24,6327
"manicure",2,"NN",745.42,10.56,4.39,101
"teacup",2,"NN",666.61,5.39,4.92,33
"sophistication",5,"NN",848.03,10.16,1.92,49
"washday",2,"NN",974.75,9.5,2.92,2
"singer",2,"NN",644.3,5.06,4.62,800
"castrate",1,"VB",796.42,12.43,3.82,31
"rattler",2,"NN",710.21,7.06,4.5,25
"tennis",1,"NN",568.79,7.53,4.43,695
"gavel",1,"NN",858.39,9.22,4.88,39
"gait",1,"NN",751.17,11.75,3.54,16
"chiffon",1,"NN",771.61,13.78,4.45,25
"artificial",2,"JJ",714.68,10.16,2.93,246
"fascination",2,"NN",723.66,8.63,1.89,90
"handstand",2,"NN",828.3,6.71,4.57,7
"brushwood",2,"NN",791.69,12.8,3.96,1
"dioxide",2,"NN",789.71,11.4,2.81,52
"candy",1,"NN",684.19,4,4.83,1825
"cervical",2,"JJ",832.32,13.95,3.59,35
"imitate",2,"VB",737.88,9.2,2.66,92
"helplessness",3,"NN",814.69,9.67,2,12
"crater",1,"NN",799.09,8.11,4.61,132
"readdress",2,"VB",1072.83,10.78,2.15,1
"warrantee",2,"NN",931.64,12.58,2.88,1
"redden",2,"VB",863.5,9.21,3.42,2
"stubbornness",2,"NN",993.5,8.42,2.36,26
"hopscotch",2,"NN",772,5.8,4.48,15
"stanza",1,"NN",783.83,11.47,3.29,2
"unhook",2,"VB",693.38,7.22,3.34,44
"menagerie",1,"NN",973.91,13.56,3.12,17
"grove",1,"NN",695.52,8.21,4.76,197
"allowable",2,"JJ",792.75,9.56,2.17,5
"spidery",2,"JJ",754.81,10,2.46,4
"interception",3,"NN",874.15,9.5,2.7,29
"stoppage",2,"NN",868.9,10.95,2.92,12
"parsley",1,"NN",705.67,8.95,4.77,43
"dangle",1,"VB",751.34,6.89,3.36,68
"abort",1,"VB",672.48,12.21,2.83,235
"condemn",1,"VB",848.63,12.5,1.96,121
"drumbeat",2,"NN",838.13,8.2,4.21,8
"crunchy",2,"JJ",649.7,5.44,3.81,48
"obstinate",2,"JJ",823.43,13.11,1.79,46
"regeneration",4,"NN",929.39,11.68,2.92,34
"cider",1,"NN",657.94,5.83,4.97,97
"victimize",2,"VB",725.38,12,2.45,9
"hooky",1,"NN",863.75,10.93,2.29,43
"injury",2,"NN",636.16,7.56,4,520
"pad",1,"NN",609.56,8.83,4.43,415
"mare",1,"NN",662.19,8.84,4.75,148
"unattached",4,"JJ",814.83,10.55,2.48,28
"helmsman",3,"NN",1020.89,12.47,4.28,26
"warhead",2,"NN",776.36,10.5,4.07,165
"doorknob",2,"NN",744.85,4.7,4.97,86
"owl",1,"NN",576.94,6.21,4.93,286
"spotless",2,"JJ",783.84,7.47,3.34,60
"represent",1,"VB",766.84,10.33,2.12,773
"sphinx",1,"NN",769.29,10.22,4.83,52
"unnecessary",3,"JJ",815.81,9.5,1.56,316
"womankind",2,"NN",900.56,11.62,3.39,9
"superimpose",3,"VB",976.69,12.53,2.5,11
"impediment",3,"NN",894.76,13.47,2.56,30
"bobcat",2,"NN",742.97,7.06,4.93,20
"overrun",2,"VB",796.16,9.42,2.68,85
"expedience",3,"NN",855.42,13.53,1.96,6
"telepathic",3,"JJ",914,11.89,1.93,30
"pilfer",1,"VB",864.93,11.18,3.19,1
"empirical",2,"JJ",819.73,14.29,1.96,23
"shipbuilder",3,"NN",890,7.5,4.62,2
"aerospace",2,"NN",883.6,12.06,3.19,55
"excommunication",5,"NN",1014.32,14,2.3,7
"stronghold",2,"NN",760.57,9.78,2.81,60
"mistletoe",1,"NN",821.73,9.65,4.85,98
"culpable",2,"JJ",783.63,15.61,1.61,10
"prototype",2,"NN",738.09,12.65,3.69,169
"incise",2,"VB",819.42,13.77,2.48,10
"sustenance",3,"NN",820.6,13.18,2.26,29
"pueblo",1,"NN",797.23,11.94,4.26,13
"extinguisher",2,"NN",834.86,7.35,4.7,78
"vitality",2,"NN",718.96,12.94,1.78,34
"shoeshine",2,"VB",753.43,7.05,4.21,36
"systemic",2,"JJ",735.86,14.26,1.8,11
"insurance",3,"NN",703.47,11.4,2.86,1955
"immortal",3,"JJ",674.71,10.47,2,260
"personality",3,"NN",689.82,8.68,2.08,811
"accusation",2,"NN",819.06,10.17,2.38,143
"favorable",2,"JJ",745.55,11.9,2.32,55
"demon",1,"NN",693.06,7.16,3.32,1593
"congressman",3,"NN",736.47,9.35,4.58,325
"minibus",2,"NN",905.8,12.24,4.55,28
"condom",1,"NN",710.66,12,4.87,263
"cooler",2,"JJ",574.22,6.11,4.14,360
"playsuit",2,"NN",841.3,8.64,3.96,1
"illogical",3,"JJ",788.27,11,1.38,29
"detonator",3,"NN",857.22,10.63,4.76,121
"effectual",3,"JJ",897.67,11.89,1.74,3
"brat",1,"NN",607.62,6.21,3.62,317
"skinhead",2,"NN",709,12.56,4.04,15
"parenthesis",4,"NN",919.13,9.39,4.78,3
"unpaved",3,"JJ",703.45,8.68,4.12,3
"breastfeed",2,"VB",924.41,10.74,4.04,9
"reasonable",2,"JJ",721.31,8.32,1.78,946
"condensation",2,"NN",811.3,12.11,4.24,17
"clobber",1,"VB",766.39,8.53,3.55,30
"unmistakable",4,"JJ",901.73,10.21,1.73,45
"device",1,"NN",607.3,8.06,3.97,926
"pear",1,"NN",657.23,4,4.93,68
"foxhole",2,"NN",719.13,11.06,4.5,48
"blowout",2,"NN",702.26,9.42,3.35,76
"tavern",1,"NN",648.94,8.84,4.78,158
"diaper",1,"NN",689,3.4,4.82,218
"individualistic",5,"JJ",1069.17,11.5,1.85,2
"woodshed",2,"NN",845.03,7.72,4.68,22
"gallstone",2,"NN",852.39,13.11,4.68,6
"security",2,"NN",677.03,8.06,2.82,4810
"palsy",1,"NN",895.37,14.25,2.76,27
"terrorism",3,"NN",697.67,12.83,2.79,209
"frizz",1,"VB",748.16,9,3.79,2
"paleness",2,"NN",851.17,10,3.7,1
"platonic",2,"JJ",766.19,13.12,1.68,62
"backless",2,"JJ",810.94,11.78,3.74,15
"inflexible",3,"JJ",773.18,11.79,3.41,8
"monotonous",3,"JJ",808.14,13.47,1.55,43
"drowsy",2,"JJ",659.45,8,2.62,37
"brilliancy",3,"NN",879.22,11.82,2.04,2
"cinnamon",1,"NN",806.85,5.37,4.85,152
"ageless",2,"JJ",688.06,10.3,2.03,15
"undercut",2,"VB",727.74,12.39,2.07,8
"ornamental",2,"JJ",999.73,9.74,2.7,9
"glutinous",2,"JJ",958,14.32,2.62,1
"icecap",2,"NN",730.67,10.17,4.5,4
"unbuckle",2,"VB",808.78,6.06,3.59,18
"itinerary",1,"NN",786.61,11.84,3.93,85
"transcendent",2,"JJ",892.9,13.33,1.64,21
"fascism",2,"NN",886.29,14.33,1.83,39
"telecast",2,"NN",749.59,12.5,4.08,18
"neighbor",1,"NN",750.06,5.06,4.64,864
"headquarter",3,"NN",750.94,8.63,3.83,24
"bean",1,"NN",660.38,3.42,5,349
"phenomenal",3,"JJ",933.29,10.5,1.78,118
"cell",1,"NN",625.87,10,4.44,2772
"legislate",1,"VB",879.81,11.16,2.33,16
"newsboy",3,"NN",691.28,7.53,4.42,14
"conviction",2,"NN",695.88,10.85,2.07,303
"biochemistry",4,"NN",848.38,13.94,3.4,29
"implacable",3,"JJ",934.6,13.31,2.15,8
"transition",2,"NN",717.58,10.39,2.19,159
"accordion",1,"NN",930.2,8.61,4.86,67
"seduce",2,"VB",681.33,11.95,2.18,176
"diversion",2,"NN",699.14,12.58,2.67,158
"linguist",2,"NN",705.59,13.82,3.72,27
"dizzy",1,"JJ",647.03,5.5,2.59,430
"eatable",2,"JJ",877.28,8.93,3.11,3
"spotlight",2,"NN",620.32,7.94,4.63,148
"audacity",2,"NN",983.48,13,1.62,48
"irrational",2,"JJ",700.39,11.28,1.79,149
"ingenuity",2,"NN",1034.56,11.79,1.68,47
"adrenal",1,"JJ",867.22,14.24,3.28,16
"immediate",3,"JJ",670.51,8.76,2.1,571
"guardian",2,"NN",669.74,9.44,3.28,358
"holster",1,"NN",693.93,10.32,4.59,111
"unfold",2,"VB",607.65,8,3.55,69
"intimacy",2,"NN",720.97,12.58,1.96,167
"tranquilizer",3,"NN",777.24,11.58,4.55,92
"frustration",2,"NN",720.9,8.35,2.06,152
"herculean",1,"JJ",874.77,13.06,2,7
"aerial",2,"JJ",828.33,11.5,3.04,129
"feat",1,"NN",672.44,11.26,2.44,78
"gutsy",3,"JJ",772.61,8.67,1.69,34
"titillation",2,"NN",994.71,14.36,2.13,6
"rebellion",2,"NN",692.5,10,2.93,130
"realist",2,"NN",680.76,13.48,2.34,45
"invasive",3,"JJ",766.39,12.56,2.1,59
"lingering",2,"VB",725.39,11.56,1.85,45
"wardrobe",1,"NN",763.67,7.84,4.67,330
"driveway",2,"NN",762.87,5.78,4.77,343
"stimulant",2,"NN",733.8,12.16,4.08,26
"destination",2,"NN",725.3,8.56,3.82,300
"squinty",2,"JJ",915.23,10.75,2.86,6
"conductor",3,"NN",628.53,7.44,4.26,155
"supersensitive",3,"JJ",1008.94,12.91,2.25,2
"bereavement",2,"NN",969.75,14.47,2.33,23
"infectious",3,"JJ",737.09,11.21,2.3,65
"exemplify",2,"VB",695.41,11.72,1.93,3
"oneness",2,"NN",822.96,11.42,1.96,21
"malnutrition",3,"NN",875.47,10.37,3.1,23
"mumps",1,"NN",756.07,8.42,4.1,60
"carton",1,"NN",676.69,7,5,96
"expression",3,"NN",632.82,6.94,2.54,651
"tactile",1,"JJ",827.62,15.6,3.04,18
"gravity",2,"NN",639.68,8.39,2.86,351
"rickshaw",1,"NN",1074.27,11.94,4.62,30
"burial",2,"NN",706.45,9.22,3.93,242
"dewdrop",2,"NN",781.36,8.68,4.69,8
"repressive",3,"JJ",704.94,12.65,1.62,12
"dreadful",2,"JJ",736.7,6.78,2.23,408
"biscuit",1,"NN",623.88,4.63,4.9,191
"confining",3,"VB",772.21,11.35,2.79,18
"sprocket",1,"NN",938.41,12.94,4.58,15
"festival",3,"NN",683.78,8.39,4.33,505
"disintegrate",3,"VB",1043,11.42,2.68,26
"guestroom",2,"NN",789.14,7.76,4.44,4
"gratify",2,"VB",725.1,12.78,2.26,8
"jug",1,"NN",655.27,5.83,4.96,134
"metamorphosis",3,"NN",789.44,11.8,3.11,28
"smuggler",2,"NN",660.03,9.95,4.31,62
"dissect",2,"VB",847.11,10.11,3.21,50
"resident",2,"NN",702.03,8.47,4.03,374
"reeducation",4,"NN",1076.29,13.62,2.04,9
"rebut",1,"VB",814.57,12.33,2.28,8
"suffix",2,"NN",617.91,9.16,3.61,2
"meridian",1,"NN",780.07,10.19,3.21,18
"lifeline",2,"NN",728.91,8.8,3.28,44
"modest",1,"JJ",644.62,10.68,2.21,300
"backhanded",3,"JJ",784.21,10,2.76,7
"collaboration",4,"NN",809.5,10.61,2.59,58
"lordly",2,"JJ",696.63,11.56,2.14,7
"jaywalk",2,"VB",785.71,10.33,3.68,5
"aristocrat",2,"NN",963.5,11.88,3.76,69
"deathbed",2,"NN",770.81,9.47,3.83,68
"dismal",1,"JJ",667.41,10.56,2.38,48
"karma",1,"NN",822.44,13.67,1.93,176
"cahoots",1,"NN",873.33,12.19,1.96,32
